 ,運動,樂器,數學,昆蟲,五專,節能,登革熱,圖書,生命,長輩,職工,服務,國防,針灸,書館,法製,診病,學生會,圖書館,品德,商品,用戶,測試,青年,建築,櫻花,流感,專利,用藥,土地
運動,0,6,12,3,4,5,3,12,23,4,15,40,2,1,13,2,0,5,11,9,15,14,6,12,13,2,2,9,1,13
樂器,6,0,3,2,2,0,1,2,6,1,3,8,1,0,2,1,0,0,2,4,0,1,3,5,1,1,0,2,1,1
數學,12,3,0,1,2,2,1,4,11,0,5,17,2,0,4,0,0,1,4,0,7,7,5,7,4,1,0,4,1,5
昆蟲,3,2,1,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1
五專,4,2,2,0,0,2,0,1,3,0,1,8,1,0,1,0,0,1,1,2,3,1,2,1,3,0,0,3,0,1
節能,5,0,2,0,2,0,0,1,2,0,1,7,0,0,1,0,0,0,1,2,4,2,2,1,5,0,0,4,0,3
登革熱,3,1,1,0,0,0,0,2,2,1,2,4,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
圖書,12,2,4,0,1,1,2,0,9,4,4,15,1,0,23,0,0,0,23,4,5,6,5,3,5,0,2,6,0,6
生命,23,6,11,3,3,2,2,9,0,5,10,43,4,0,9,3,1,4,9,7,16,17,9,17,11,1,2,7,3,13
長輩,4,1,0,0,0,0,1,4,5,0,3,9,0,0,3,1,0,1,3,1,2,4,4,4,3,0,2,2,0,1
職工,15,3,5,2,1,1,2,4,10,3,0,20,0,0,4,1,0,2,4,2,3,5,0,6,3,1,1,2,1,4
服務,40,8,17,3,8,7,4,15,43,9,20,0,3,1,14,5,1,6,12,11,27,25,18,23,28,2,2,16,6,27
國防,2,1,2,0,1,0,0,1,4,0,0,3,0,0,1,1,0,2,1,0,3,1,1,1,3,0,0,0,1,1
針灸,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
書館,13,2,4,0,1,1,1,23,9,3,4,14,1,0,0,0,0,1,23,5,4,5,3,3,5,0,2,6,0,6
法製,2,1,0,0,0,0,0,0,3,1,1,5,1,0,0,0,0,1,0,1,3,1,1,2,3,0,0,0,1,2
診病,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
學生會,5,0,1,0,1,0,0,0,4,1,2,6,2,0,1,1,0,0,0,1,5,1,0,4,3,0,0,1,0,1
圖書館,11,2,4,0,1,1,1,23,9,3,4,12,1,0,23,0,0,0,0,4,4,4,3,3,3,0,2,5,0,5
品德,9,4,0,1,2,2,0,4,7,1,2,11,0,0,5,1,0,1,4,0,3,0,1,3,5,1,0,4,1,5
商品,15,0,7,0,3,4,1,5,16,2,3,27,3,0,4,3,0,5,4,3,0,13,5,7,15,0,1,7,1,9
用戶,14,1,7,0,1,2,0,6,17,4,5,25,1,0,5,1,0,1,4,0,13,0,9,5,13,0,1,5,3,8
測試,6,3,5,0,2,2,1,5,9,4,0,18,1,0,3,1,0,0,3,1,5,9,0,6,8,0,0,5,3,8
青年,12,5,7,2,1,1,1,3,17,4,6,23,1,0,3,2,0,4,3,3,7,5,6,0,5,1,0,2,1,11
建築,13,1,4,0,3,5,0,5,11,3,3,28,3,0,5,3,0,3,3,5,15,13,8,5,0,0,1,8,1,11
櫻花,2,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2
流感,2,0,0,0,0,0,1,2,2,2,1,2,0,0,2,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0
專利,9,2,4,0,3,4,0,6,7,2,2,16,0,1,6,0,0,1,5,4,7,5,5,2,8,0,0,0,0,5
用藥,1,1,1,0,0,0,0,0,3,0,1,6,1,0,0,1,0,0,0,1,1,3,3,1,1,1,0,0,0,2
土地,13,1,5,1,1,3,1,6,13,1,4,27,1,0,6,2,0,1,5,5,9,8,8,11,11,2,0,5,2,0
